dia,hora,periodo,estr_solar,estr_eolico,demanda_wh,energia_solar,precio_solar,energia_eolico,precio_eolico,acepta_solar,acepta_eolico,restante_wh,penalizacion
2021-01-03,20,noche,hide,hide,574.5506436797708,319.4306436797708,15.8532,255.12,7.6536,True,True,0.0,0.0
2021-01-03,21,noche,reveal,hide,1486.8869366005174,587.8,17.634,293.98,8.8194,True,True,605.1069366005174,3.03
2021-01-03,22,noche,reveal,hide,1272.2447692966575,587.8,17.634,249.83,7.4949,True,True,434.6147692966575,2.17
2021-01-03,23,noche,reveal,bluffing,698.7156815341724,344.4256815341724,17.634,354.29,10.6287,True,True,0.0,0.0
2021-01-04,0,noche,bluffing,hide,505.5221171236024,505.5221171236024,15.1657,0.0,8.0643,True,False,0.0,0.0
2021-01-04,1,noche,hide,hide,1315.4614284548345,550.88,16.5264,266.3,7.989,True,True,498.28142845483455,2.49
2021-01-04,2,noche,reveal,reveal,1206.8573438476171,587.8,17.634,301.36,9.0408,True,True,317.69734384761716,1.59
2021-01-04,3,noche,hide,bluffing,1229.0071680409874,520.52,15.6156,471.13,14.1339,True,True,237.3571680409874,1.19
2021-01-04,4,noche,bluffing,reveal,1271.2703466859457,711.4,21.342,400.96,12.0288,True,True,158.91034668594568,0.79
2021-01-04,5,noche,bluffing,reveal,229.61786069363612,229.61786069363612,6.8885,0.0,6.8885,True,False,0.0,0.0
2021-01-04,6,dia,bluffing,reveal,343.386291417709,343.386291417709,10.3016,0.0,10.3016,True,False,0.0,0.0
2021-01-04,7,dia,reveal,reveal,246.34762381005189,246.34762381005189,7.3904,0.0,7.3904,True,False,0.0,0.0
2021-01-04,8,dia,hide,reveal,545.2413703502374,158.2213703502374,15.1266,387.02,11.6106,True,True,0.0,0.0
2021-01-04,9,dia,reveal,hide,449.3192507310232,449.3192507310232,13.4796,0.0,9.0387,True,False,0.0,0.0
2021-01-04,10,dia,bluffing,hide,332.3592099410597,332.3592099410597,9.9708,0.0,9.9708,True,False,0.0,0.0
2021-01-04,11,dia,hide,hide,225.42334011440943,225.42334011440943,6.7627,0.0,6.7627,True,False,0.0,0.0
